custid	dob	gender	card	card_date	month	quarter	year	type	item	spent
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	1	1	2	167.81
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	1	2	9	809.87
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	1	3	1	111.09
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	1	4	3	579.1
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	1	5	8	409.63
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	2	1	5	281.34
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	2	2	10	1011.05
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	2	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	2	4	1	183.37
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	1	1	2	5	3	234.41
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	1	1	5	357.51
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	1	2	9	475.9
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	1	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	1	4	1	205.83
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	1	5	3	246.56
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	2	1	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	2	2	9	828.81
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	2	3	0	0
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	2	4	4	754.8
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	2	1	2	5	4	290.65
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	1	1	2	145.8
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	1	2	5	529.12
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	1	3	1	143.99
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	1	4	2	245.9
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	1	5	4	231.03
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	2	1	5	313.59
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	2	2	6	318.92
8257-BKBEDP-MRF	15DEC1961	1	3	09AUG2003	3	1	2	3	0	0
